Target gene (OFFICIAL_GENE_NAME)	TF (OFFICIAL_TF_CODING_GENE_NAME)	REFERENCES	SPECIES	ACCESSION #S
TRIB2	GLI1	Pubmed	Mus musculus;	;19095649
TSC22D1	GLI1	Pubmed	Homo sapiens	;11719506
TST	GLI1	Pubmed	Homo sapiens; Rattus norvegicus	;18924150
UCHL3	GLI1	Pubmed	Mus musculus;	;19095649
USP7	GLI1	Pubmed	Homo sapiens	;11719506
VLDLR	GLI1	Pubmed	Mus musculus;	;19095649
WDR61	GLI1	Pubmed	Mus musculus;	;19095649
ABCA1	GLI2	Pubmed	Homo sapiens	;14691458
ADD3	GLI2	Pubmed	Homo sapiens	;14691458
AKAP4	GLI2	Pubmed	Homo sapiens	;14691458
ATP10B	GLI2	Pubmed	Homo sapiens	;14691458
ATP4A	GLI2	Pubmed	CF	15691835
ATP9A	GLI2	Pubmed	Homo sapiens	;14691458
BCL6	GLI2	Pubmed	Homo sapiens	;14691458
BLVRA	GLI2	Pubmed	Homo sapiens	;14691458
BMP1	GLI2	Pubmed	Homo sapiens	;14691458
BMP7	GLI2	Pubmed	Homo sapiens	;14691458
BRD2	GLI2	Pubmed	Homo sapiens	;14691458
CAMK1	GLI2	Pubmed	Homo sapiens	;14691458
CCL17	GLI2	Pubmed	Homo sapiens	;14691458
CCND1	GLI2	Pubmed	Homo sapiens	;14691458
CCNG2	GLI2	Pubmed	Homo sapiens	;14691458
CDC45	GLI2	Pubmed	Homo sapiens	;14691458
CDC7	GLI2	Pubmed	Homo sapiens	;14691458
CDK1	GLI2	Pubmed	Homo sapiens	;14691458
CDKN1A	GLI2	Pubmed	Homo sapiens	;14691458
CEACAM6	GLI2	Pubmed	Homo sapiens	;14691458
CEACAM7	GLI2	Pubmed	Homo sapiens	;14691458
CFLAR	GLI2	Pubmed	Homo sapiens	;18264131
CKS1B	GLI2	Pubmed	Homo sapiens	;14691458
CLEC2B	GLI2	Pubmed	Homo sapiens	;14691458
CLK1	GLI2	Pubmed	Homo sapiens	;14691458
CLK2	GLI2	Pubmed	Homo sapiens	;14691458
CNTN2	GLI2	Pubmed	Homo sapiens	;14691458
COL5A2	GLI2	Pubmed	Homo sapiens	;14691458
CTR9	GLI2	Pubmed	Homo sapiens	;14691458
CTSL1	GLI2	Pubmed	Homo sapiens	;14691458
DIO3	GLI2	Pubmed	Mus musculus;	;17720805
DLX3	GLI2	Pubmed	Homo sapiens	;14691458
DLX5	GLI2	Pubmed	Homo sapiens	;14691458
DST	GLI2	Pubmed	Homo sapiens	;14691458
E2F1	GLI2	Pubmed	Homo sapiens	;14691458
EAR3	GLI2	Pubmed	Homo sapiens	14691458
EDN1	GLI2	Pubmed	Homo sapiens	;14691458
EFEMP1	GLI2	Pubmed	Homo sapiens	;14691458
EFNA1	GLI2	Pubmed	Homo sapiens	;14691458
EGFR	GLI2	Pubmed	Homo sapiens	;14691458
FEN1	GLI2	Pubmed	Homo sapiens	;14691458
FGF10	GLI2	Pubmed	Mus musculus; Rattus norvegicus	;15328011;12384550
FGF13	GLI2	Pubmed	Homo sapiens	;14691458
FGF19	GLI2	Pubmed	Mus musculus;	;18279667
FOXE1	GLI2	Pubmed	Homo sapiens	;14691458;15367491;15140221
FST	GLI2	Pubmed	Homo sapiens	;14691458;15140221;18319260
FZD6	GLI2	Pubmed	Homo sapiens	;14691458
GLI1	GLI2	Pubmed	Homo sapiens; Mus musculus	;12165851;9636069;15175043
HIST2H2BE	GLI2	Pubmed	Homo sapiens	;14691458
HK1	GLI2	Pubmed	Xenopus laevis	11091085
HLA-DRA	GLI2	Pubmed	Homo sapiens	;14691458
HLA-E	GLI2	Pubmed	Homo sapiens	;14691458
HPGD	GLI2	Pubmed	Homo sapiens	;14691458
HSPA4	GLI2	Pubmed	Homo sapiens	;14691458
IFITM1	GLI2	Pubmed	Homo sapiens	;14691458
IFNGR1	GLI2	Pubmed	Homo sapiens	;14691458
IGFBP3	GLI2	Pubmed	Homo sapiens	;14691458
IL13	GLI2	Pubmed	Homo sapiens	;14691458
IL1R2	GLI2	Pubmed	Homo sapiens	;14691458
IL6	GLI2	Pubmed	Homo sapiens	;14691458
ILF3	GLI2	Pubmed	Homo sapiens	;14691458
IRF9	GLI2	Pubmed	Homo sapiens	;14691458
ITGA6	GLI2	Pubmed	Homo sapiens	;14691458
ITGB1	GLI2	Pubmed	Homo sapiens	;14691458
JAG1	GLI2	Pubmed	Homo sapiens	;14691458
JUNB	GLI2	Pubmed	Homo sapiens	;14691458
KRT17	GLI2	Pubmed	Mus musculus;	;16055733
LAMB3	GLI2	Pubmed	Homo sapiens	;14691458
LUM	GLI2	Pubmed	Homo sapiens	;14691458
MAD2L1	GLI2	Pubmed	Homo sapiens	;14691458
MAP3K4	GLI2	Pubmed	Homo sapiens	;14691458
MAPK6	GLI2	Pubmed	Homo sapiens	;14691458
MAZ	GLI2	Pubmed	Homo sapiens	;14691458
MEOX1	GLI2	Pubmed	Homo sapiens; Mus musculus	;14691458;15039437
MMP10	GLI2	Pubmed	Homo sapiens	;14691458
MMP13	GLI2	Pubmed	Homo sapiens	;14691458
MMP2	GLI2	Pubmed	Homo sapiens	;14691458
MSX2	GLI2	Pubmed	Homo sapiens	;14691458
MYC	GLI2	Pubmed	Homo sapiens	;14691458
NPY2R	GLI2	Pubmed	Homo sapiens	;14691458
PAX3	GLI2	Pubmed	Mus musculus;	;15039437
PCNA	GLI2	Pubmed	Homo sapiens	;14691458
PI3	GLI2	Pubmed	Homo sapiens	;14691458
PPP1CB	GLI2	Pubmed	Homo sapiens	;14691458
PRKACA	GLI2	Pubmed	Homo sapiens	;14691458
PTCH1	GLI2	Pubmed	Homo sapiens; Mus musculus	;14691458;9636069;15087129
PTEN	GLI2	Pubmed	Homo sapiens	;14691458
RAPGEFL1	GLI2	Pubmed	Homo sapiens	;14691458
RHOH	GLI2	Pubmed	Homo sapiens	;14691458
RNASE3	GLI2	Pubmed	Homo sapiens	;14691458
RORC	GLI2	Pubmed	Homo sapiens	;14691458
SERPINB2	GLI2	Pubmed	Homo sapiens	;14691458
SPG20	GLI2	Pubmed	Homo sapiens	;14691458
SPRR2A	GLI2	Pubmed	Homo sapiens	;14691458
SYTL2	GLI2	Pubmed	Homo sapiens	;14691458
TEAD1	GLI2	Pubmed	Homo sapiens	;14691458
TGFA	GLI2	Pubmed	Homo sapiens	;14691458
TGFBI	GLI2	Pubmed	Homo sapiens	;14691458
TIMP3	GLI2	Pubmed	Homo sapiens	;14691458
TNC	GLI2	Pubmed	Homo sapiens	;14691458
TOB1	GLI2	Pubmed	Homo sapiens	;14691458
UGCG	GLI2	Pubmed	Homo sapiens	;14691458
UGT1A	GLI2	Pubmed	Homo sapiens	;14691458
VAV3	GLI2	Pubmed	Homo sapiens	;14691458
VDR	GLI2	Pubmed	Homo sapiens	;14691458
VIPR1	GLI2	Pubmed	Homo sapiens	;14691458
ZFC3H1	GLI2	Pubmed	Homo sapiens	;14691458
GLI1	GLI3	Pubmed	Mus musculus; Rattus norvegicus	;10075717;12435627
PTCH2	GLI3	Pubmed	Homo sapiens	;14691458
TH	GSC2	Pazar	Homo sapiens	pazar_pleiades_20100814
CCND1	HBP1	Pubmed	Homo sapiens	;16179914;11500377;
CCND3	HBP1	Pubmed	Homo sapiens	;16179914;
CCNE1	HBP1	Pubmed	Homo sapiens	;16179914;
CDKN1A	HBP1	Pubmed	Homo sapiens	10030670
CDKN2A	HBP1	Pubmed	Homo sapiens; Mus musculus	;20581871;
CEBPA	HBP1	Pubmed	Homo sapiens	;16179914;
FASLG	HBP1	Pubmed	Homo sapiens	;16179914;
GATA1	HBP1	Pubmed	Homo sapiens	;16179914;
HIST1H1B	HBP1	Pubmed	Homo sapiens; Mus musculus; Rattus norvegicus	;10958660;
JUNB	HBP1	Pubmed	Homo sapiens	;16179914;
MIF	HBP1	Pubmed	Homo sapiens	;20383199;
MYB	HBP1	Pubmed	Homo sapiens	;16179914;
MYC	HBP1	Pubmed	Homo sapiens	;16179914;
NCF1	HBP1	Pubmed	Homo sapiens; Mus musculus	;15024088;
RUNX1	HBP1	Pubmed	Homo sapiens	;16179914;
SPI1	HBP1	Pubmed	Homo sapiens	;16179914;
CEBPA	HDAC1	Pubmed	Mus musculus	;16431920
CTNND2	HES1	Pubmed	Homo sapiens	;21106062
E2F1	HES1	Pubmed	Homo sapiens	;15467735
GSC	HHEX	pazar	Homo sapiens	
ATOH1	HIC1	pazar	Mus musculus	
ABCB1B	HIF1A	TRED	Mus musculus	
ABCB1	HIF1A	Pubmed	Homo sapiens	;17452336;
ADM	HIF1A	Pubmed	Homo sapiens	;10847587;
ALDOA	HIF1A	Pubmed	Homo sapiens	;8089148;
APH1A	HIF1A	Pubmed	Homo sapiens	;16645044
AVP	HIF1A	TRED	Mus musculus	
BHLHB2	HIF1A	TRED	Homo sapiens	
BID	HIF1A	TRED	Mus musculus	
BNIP3	HIF1A	Pubmed	Homo sapiens	;11559532;
CA9	HIF1A	TRED	Homo sapiens	
CASP9	HIF1A	TRED	Mus musculus	
CTGF	HIF1A	pazar	Mus musculus	
DLL4	HIF1A	Pubmed	Homo sapiens	;16204037
EGLN1	HIF1A	TRED	Homo sapiens	
ENO1	HIF1A	Pubmed	Homo sapiens;	;8955077
EPO	HIF1A	trrd;TRED	Homo sapiens	
EPX	HIF1A	TRED	Homo sapiens	
FAM162A	HIF1A	TRED	Homo sapiens	
FLT1	HIF1A	TRED	Homo sapiens	
GAPDH	HIF1A	Pubmed	Homo sapiens	;11955624;
GCK	HIF1A	TRED	Rattus norvegicus	
HMOX1	HIF1A	trrd;TRED	Mus musculus; Rattus norvegicus	
HSP90B1	HIF1A	Pubmed	Homo sapiens	;15620698;
ID2	HIF1A	Pubmed	Homo sapiens	;11955624
ITGB2	HIF1A	Pubmed	Homo sapiens	;15235127;
KLK3	HIF1A	Pubmed	Homo sapiens	;17426252
LDHA	HIF1A	Pubmed	Homo sapiens;	;8089148;
MDK	HIF1A	Pubmed	Mus musculus;	;15197188;
NR4A1	HIF1A	Pubmed	Homo sapiens	;14729605;
PFKFB3	HIF1A	TRED	Homo sapiens	
PFKL	HIF1A	Pubmed	Homo sapiens	;8089148;
PGK1	HIF1A	Pubmed	Homo sapiens	;8089148
PKLR	HIF1A	TRED	Rattus norvegicus	
SENP2	HIF1A	TRED	Mus musculus	
SERPINE1	HIF1A	Pubmed	Homo sapiens	;11877282
SLC2A1	HIF1A	TRED	Rattus norvegicus	
SUMO1	HIF1A	TRED	Mus musculus	
TERT	HIF1A	TRED	Homo sapiens	
TFF3	HIF1A	TRED	Mus musculus	
TFRC	HIF1A	Pubmed	Homo sapiens	;10446187;
TGFB3	HIF1A	TRED	Homo sapiens	
TH	HIF1A	TRED	Rattus norvegicus	
TIMP1	HIF1A	Pubmed	Homo sapiens	;10334664;
TP53	HIF1A	Pubmed	Homo sapiens	;12542982;15629713;
VEGFA	HIF1A	Pubmed	Homo sapiens	;19420388
PPARG	HIVEP2	Pubmed	Mus musculus	;16580992
FLT1	HLF	TRED	Mus musculus	
KDR	HLF	TRED	Mus musculus	
RUNX1	HLF	TRED	Mus musculus	
SERPINE1	HLTF	pazar;trrd	Homo sapiens	
CCNB2	HMGA1	Pubmed	Mus musculus	;19223528
FGL1	HMGA1	Pubmed	Homo sapiens	;19304666
CCNB2	HMGA2	Pubmed	Mus musculus	;19223528
IFNB1	HMGA2	pazar	Homo sapiens	
MIA	HMGA2	Pubmed	Mus musculus	;17914116
ACAT2	HNF1A	Pubmed	Mus musculus;	;15961790
ADH1A	HNF1A	Pubmed	Homo sapiens	;1620113
AFP	HNF1A	NfiRegulomeDB	Rattus norvegicus	;
AKR1C4	HNF1A	Pubmed	Homo sapiens	;11284743; 12220531
ALB	HNF1A	Pubmed	Homo sapiens	;8288579
ALDOB	HNF1A	Pazar	Homo sapiens	
APOB	HNF1A	trrd	Homo sapiens	
APOH	HNF1A	Pubmed	Homo sapiens	;14984368
CLDN2	HNF1A	Pubmed	Homo sapiens	;11934881
CYP1A2	HNF1A	Pubmed	Mus musculus;	;14599559
CYP27A1	HNF1A	Pubmed	Rattus norvegicus	;10528998
CYP2A5	HNF1A	Pubmed	Mus musculus	;15115437
CYP2E1	HNF1A	Pubmed	Homo sapiens	;12604681
CYP3A4	HNF1A	pazar	Homo sapiens	
CYP7A1	HNF1A	Pazar	Homo sapiens	
DDC	HNF1A	Pubmed	Rattus norvegicus	;8626808
DSG2	HNF1A	Pazar	Mus musculus	
FABP2	HNF1A	Pubmed	Homo sapiens	;18440731
FECH	HNF1A	Pubmed	Mus musculus	;10617683
FGL1	HNF1A	Pubmed	Homo sapiens	;19304666
G6PC	HNF1A	pazar;trrd	Homo sapiens;Rattus norvegicus	
GC	HNF1A	pazar	Homo sapiens	
GCK	HNF1A	Pubmed	Rattus norvegicus	;11460882
GJB1	HNF1A	Pubmed	Rattus norvegicus	;10760574
GLS2	HNF1A	Pubmed	Homo sapiens	;12444921
GSTA1	HNF1A	Pubmed	Homo sapiens	; 12386123
GSTA2	HNF1A	Pubmed	Rattus norvegicus	;15155840
GUCA2A	HNF1A	Pubmed	Mus musculus	;9357824
HNF1A	HNF1A	Pubmed	Rattus norvegicus	;8367288
HNF4A	HNF1A	Pubmed	Mus musculus	;11522818
IGF1	HNF1A	pazar	Homo sapiens	
INS2	HNF1A	pazar	Mus musculus	
INS	HNF1A	Pubmed	Homo sapiens	;10491332; 1142872
LCT	HNF1A	trrd	Rattus norvegicus	S10100;
LPA	HNF1A	Pubmed	Homo sapiens	;8051057
MIA2	HNF1A	Pazar	Homo sapiens	
MMP7	HNF1A	Pubmed	Homo sapiens	;12851697
PAH	HNF1A	trrd	Homo sapiens	
PAX4	HNF1A	Pubmed	Mus musculus	;12837760
PDX1	HNF1A	Pubmed	Homo sapiens; Mus musculus	;11278466
PROC	HNF1A	Pubmed	Homo sapiens	;11140943
SCD	HNF1A	Pubmed	Mus musculus; Homo sapiens	;7480063; 11414710
SI	HNF1A	Pubmed	Mus musculus	;12060663
SLC10A1	HNF1A	Pubmed	Rattus norvegicus	;14701722
SLC2A2	HNF1A	Pubmed	Homo sapiens	;11978637
SLC5A2	HNF1A	Pubmed	Mus musculus	;11269503
ST6GAL1	HNF1A	Pubmed	Homo sapiens	;1737800
SULT2AL1	HNF1A	Pazar	Rattus norvegicus	
TTR	HNF1A	pazar	Mus musculus	
UGT1A10	HNF1A	pazar	Mus musculus	
UGT1A6	HNF1A	Pubmed	Rattus norvegicus	;12946651
UGT1A7	HNF1A	Pubmed	Rattus norvegicus	;10908299
UGT1A8	HNF1A	pazar	Homo sapiens	
UGT2B7	HNF1A	Pubmed	Homo sapiens	;10779377
CDH16	HNF1B	pazar	Mus musculus	
DPP4	HNF1B	pazar	Homo sapiens	
INS	HNF1B	Pubmed	Homo sapiens	;10491332
KIF12	HNF1B	pazar	Mus musculus	
MMP7	HNF1B	Pubmed	Homo sapiens	;12851697
NNMT	HNF1B	pazar	Homo sapiens	
PKHD1	HNF1B	pazar	Mus musculus	
SLC22A8	HNF1B	pazar	Homo sapiens	
SOAT2	HNF1B	pazar	Homo sapiens	
SOCS3	HNF1B	pazar	Mus musculus	
TMEM27	HNF1B	pazar	Homo sapiens	
UGT1A7	HNF1B	Pubmed	Rattus norvegicus	;10908299
ACADM	HNF4A	pazar;trrd	Homo sapiens	
ACMSD	HNF4A	pazar	Mus musculus	
AFP	HNF4A	pazar;trrd	Homo sapiens; Mus musculus	
AGT	HNF4A	pazar;trrd	Homo sapiens	
AKR1C4	HNF4A	Pubmed	Homo sapiens	;11284743; 12220531
ALDH2	HNF4A	pazar	Homo sapiens	
ALDOB	HNF4A	pazar	Mus musculus	
AMBP	HNF4A	pazar	Homo sapiens	
APOA1	HNF4A	pazar;trrd	Homo sapiens	
APOA2	HNF4A	pazar;trrd	Homo sapiens	
APOA4	HNF4A	pazar;trrd	Homo sapiens	
APOA5	HNF4A	pazar	Homo sapiens	
APOB	HNF4A	Pubmed	Homo sapiens	;9921275; 8344962
APOC2	HNF4A	pazar;trrd	Homo sapiens;Mus musculus	
APOC3	HNF4A	Pazar	Homo sapiens	
AQP4	HNF4A	pazar	Mus musculus	
BAAT	HNF4A	pazar	Mus musculus	
CDH1	HNF4A	pazar	Mus musculus	
CDHR5	HNF4A	pazar	Mus musculus	
CES2C	HNF4A	pazar	Mus musculus	
CLDN2	HNF4A	pazar	Mus musculus	
CRB3	HNF4A	pazar	Mus musculus	
CXADR	HNF4A	pazar	Mus musculus	
CYP2A4	HNF4A	pazar	Mus musculus	
CYP2A5	HNF4A	Pubmed	Mus musculus	;15115437
CYP2C9	HNF4A	pazar	Homo sapiens	
CYP2D6	HNF4A	pazar;trrd	Homo sapiens	
CYP3A16	HNF4A	pazar	Mus musculus	
CYP3A23/3A1	HNF4A	pazar	Rattus norvegicus	
CYP3A4	HNF4A	pazar	Homo sapiens	
CYP4A1	HNF4A	pazar	Rattus norvegicus	
CYP7A1	HNF4A	pazar;trrd	Rattus norvegicus	
CYP8B1	HNF4A	pazar	Homo sapiens	
DIO2	HNF4A	pazar	Homo sapiens	
EBP	HNF4A	Pubmed	Homo sapiens	;12855700
F10	HNF4A	pazar;trrd	Homo sapiens	
F2	HNF4A	Pubmed	Homo sapiens	;12911579
F7	HNF4A	pazar;trrd	Homo sapiens; Mus musculus	
F9	HNF4A	pazar;trrd	Homo sapiens	
FABP2	HNF4A	pazar;trrd	Rattus norvegicus	
FMO1	HNF4A	pazar	Homo sapiens	
G6PC	HNF4A	pazar	Homo sapiens	
GATM	HNF4A	pazar	Mus musculus	
GCK	HNF4A	pazar	Rattus norvegicus	
GJB1	HNF4A	pazar	Mus musculus	
GPLD1	HNF4A	pazar	Mus musculus	
GUCY2C	HNF4A	pazar	Homo sapiens	
HNF1A	HNF4A	Pubmed	Rattus norvegicus	;8367288
HNF1B	HNF4A	pazar	Mus musculus	
HNF4A	HNF4A	Pubmed	Mus musculus	;11522818
INS1	HNF4A	pazar;trrd	Rattus norvegicus	
KCNJ11	HNF4A	pazar	Mus musculus	
LCT	HNF4A	Pazar	Homo sapiens	pazar_pleiades_20100814
LGALS9	HNF4A	pazar	Mus musculus	
MST1	HNF4A	pazar;trrd	Homo sapiens	
MTTP	HNF4A	pazar	Homo sapiens	
NEU3	HNF4A	pazar	Mus musculus	
NPC1L1	HNF4A	Pubmed	Homo sapiens	;18080173
NPNT	HNF4A	pazar	Mus musculus	
NR0B2	HNF4A	pazar	Homo sapiens	
NR1I3	HNF4A	pazar	Mus musculus	
ONECUT1	HNF4A	pazar;trrd	Rattus norvegicus	
OTC	HNF4A	pazar	Rattus norvegicus	
PAK7	HNF4A	pazar	Homo sapiens	
PCK1	HNF4A	Pubmed	Rattus norvegicus	;14722127
PKLR	HNF4A	pazar	Rattus norvegicus	
PKP2	HNF4A	pazar	Mus musculus	
PPARA	HNF4A	pazar	Homo sapiens	
PRODH2	HNF4A	pazar	Mus musculus	
RBP2	HNF4A	pazar;trrd	Rattus norvegicus; Mus musculus	
RPS6KA6	HNF4A	pazar	Homo sapiens	
SAA1	HNF4A	pazar	Mus musculus	
SERPINC1	HNF4A	pazar	Homo sapiens	
SHBG	HNF4A	pazar	Homo sapiens	
SLC10A1	HNF4A	Pubmed	Rattus norvegicus	;14701722
SLC20A1	HNF4A	pazar	Homo sapiens	
SLC27A5	HNF4A	pazar	Mus musculus	
SLC39A4	HNF4A	pazar	Mus musculus	
TAT	HNF4A	pazar;trrd	Rattus norvegicus	
TF	HNF4A	pazar	Mus musculus	
TTR	HNF4A	pazar	Mus musculus	
VTN	HNF4A	pazar	Mus musculus	
AKR1C4	HNF4G	Pubmed	Homo sapiens	;11284743; 12220531
EPHA2	HOXA1	TRED	Mus musculus	
HOXB1	HOXA1	TRED	Mus musculus	
L1CAM	HOXA1	TRED	Mus musculus	
NCAM1	HOXA1	pazar	Mus musculus	
NKX2-5	HOXA1	TRED	Mus musculus	
REN1	HOXA1	TRED	Mus musculus	
EMX2	HOXA10	TRED	Homo sapiens	
ITGB3	HOXA10	TRED	Homo sapiens	
TH	HOXA4	TRED	Mus musculus	
HOXA5	HOXA5	pazar;TRED	Homo sapiens;;Mus musculus;	pazar_pleiades_20100814
MLH1	HOXA5	Pazar	Homo sapiens	pazar_pleiades_20100814
NCAM1	HOXA5	TRED	Mus musculus	
PGR	HOXA5	Pazar	Homo sapiens	pazar_pleiades_20100814
PTN	HOXA5	Pazar	Homo sapiens	pazar_pleiades_20100814
SLC6A2	HOXA5	pazar	Homo sapiens	
TH	HOXA5	TRED	Mus musculus	
VIM	HOXA5	pazar;TRED	Homo sapiens; Mus musculus	
TGM1	HOXA7	TRED	Homo sapiens	
SPP1	HOXA9	Pubmed	Mus musculus	;11042172
EPHA2	HOXB1	TRED	Mus musculus	
HOXB1	HOXB1	TRED	Mus musculus	
PHOX2B	HOXB1	TRED	Mus musculus	
RARB	HOXB4	TRED	Mus musculus	
SERPINB6A	HOXB5	TRED	Mus musculus	
LCT	HOXC11	TRED	Homo sapiens	
NCAM1	HOXC6	TRED	Mus musculus	
SGPP1	HOXC8	TRED	Mus musculus	
SPP1	HOXC8	TRED	Mus musculus	
TNFRSF11B	HOXC8	TRED	Homo sapiens	
ITGA5	HOXD3	TRED	Homo sapiens	
ITGB1	HOXD3	TRED	Homo sapiens	
ITGB3	HOXD3	TRED	Homo sapiens	
CDH1	HOXD9	TRED	Homo sapiens	
HSPA1A	HSF1	pazar	Mus musculus	
CDKN1A	ID1	Pubmed	Homo sapiens	;17639499
CDKN2A	ID1	Pubmed	Homo sapiens	;17639499
RORC	ID1	Pubmed	Mus musculus;	;18489764
THBS1	ID1	Pubmed	Mus musculus;	;12498716
CDKN1A	ID2	Pubmed	Homo sapiens	;17639499
CDKN2A	ID2	Pubmed	Homo sapiens	;17639499
COL1A2	ID2	Pubmed	Mus musculus	;16126788
CDKN1A	ID3	Pubmed	Homo sapiens	;17639499
CDKN2A	ID3	Pubmed	Homo sapiens	;17639499
COL1A2	ID3	Pubmed	Mus musculus	;16126788
ISYNA1	IER2	Pubmed	Homo sapiens	;19584537
INSM1	INSM1	pazar	Homo sapiens	
PURA	IRF3	Pubmed	Homo sapiens	;21062477
CD68	IRF4	Pazar	Homo sapiens	
CD68	IRF8	Pazar	Homo sapiens	
IFIT3	IRF9	Pubmed	Homo sapiens	;19351818;
IL8	IRF9	Pubmed	Homo sapiens	;18370868;
IRF7	IRF9	Pubmed	Mus musculus;	;12768031;
GNRHR	ISL1	Pazar	Rattus norvegicus	
ACP5	JUN	TRED	Mus musculus	
ACTA1	JUN	pazar	Homo sapiens	
ALDOA	JUN	trrd;	Rattus norvegicus	S4522;
AP2	JUN	trrd;	Mus musculus;	S195;
BCL2A1	JUN	trrd;	Homo sapiens;	S10635;
BDKRB1	JUN	trrd;	Homo sapiens;	S7847;
CCK	JUN	trrd;	Rattus norvegicus	S10613;
CCL2	JUN	NFIRegulomeDB;	Homo sapiens;	;
CCL4	JUN	trrd;	Homo sapiens;	S1292;
CCL5	JUN	trrd;	Homo sapiens;	S9511;
CCND1	JUN	Pubmed	Homo sapiens	;17637753
CD40LG	JUN	trrd;	Mus musculus;	S4129;
CD68	JUN	pazar	Mus musculus	
CD82	JUN	trrd;	Homo sapiens;	S10107;
CEBPD	JUN	Pubmed	Mus musculus	;20506344
CGB	JUN	trrd;	Homo sapiens;	S4337;
CHGA	JUN	trrd;	Homo sapiens;	S9958;
CLU	JUN	NfiRegulomeDb	Mus musculus	
COL5A1	JUN	TRED	Mus musculus	
COL6A1	JUN	trrd;	Mus musculus;	S9008;
CR2	JUN	trrd;	Homo sapiens;	S9967;
CRYGB	JUN	trrd;	Rattus norvegicus	S8526;
CSF1	JUN	TRED	Mus musculus	
CSF2	JUN	trrd;	Homo sapiens;	S2281;
CTNNB1	JUN	Pubmed	Homo sapiens; Mus musculus; Rattus norvegicus	;14706452
CXCL2	JUN	TRED	Mus musculus	
DDIT3	JUN	trrd	CI	S6860
DIO2	JUN	trrd;	Homo sapiens;	S6890;
EDN1	JUN	Pubmed	Homo sapiens	16740983;
F3	JUN	TRED	Mus musculus	
FABP4	JUN	NFIregulomeDB;	Mus musculus;	;
FASLG	JUN	TRED	Mus musculus	
FOS	JUN	pazar;TRED	Mus musculus	
FOSL1	JUN	TRED	Rattus norvegicus	
FSHB	JUN	trrd	Oa	S7333
GAST	JUN	Pubmed	Mus musculus	16139800;
GATA1	JUN	trrd;	Mus musculus;	S5550;
GCLM	JUN	trrd;	Homo sapiens;	S6348;
GCSH	JUN	trrd;	Homo sapiens;	S6354;
GFAP	JUN	NfiRegulomeDb	Homo sapiens	
GFAP	JUN	NfiRegulomeDb	Homo sapiens	
GNRHR	JUN	trrd;	Homo sapiens;	S7275;
GTF3A	JUN	trrd	Mus musculus	S195
GZMB	JUN	TRED	Mus musculus	
H2-L	JUN	TRED	Mus musculus	
HBEGF	JUN	TRED	Mus musculus	
HBEGF	JUN	TRED	Mus musculus	
HEY1	JUN	Pubmed	Homo sapiens;	12384550;
IBSP	JUN	trrd;	Rattus norvegicus	S4115;
IFNG	JUN	Pubmed	Homo sapiens	11943142;
IGF2	JUN	trrd;	Mus musculus;	S639;
IL18	JUN	trrd;	Mus musculus;	S6467;
IL2	JUN	trrd;	Homo sapiens;	S2299;
IL2RA	JUN	trrd;	Mus musculus;	S10450;
IL3	JUN	trrd;	Mus musculus;	S3535;
IL4	JUN	trrd;	Mus musculus;	S4040;
IL5	JUN	trrd;	Mus musculus;	S4047;
IL5RA	JUN	trrd;	Homo sapiens;	S3586;
IL6	JUN	trrd;	Rattus norvegicus	S5203;
IL8	JUN	trrd;	Homo sapiens;	S125;
ITGA2	JUN	trrd;	Homo sapiens;	S3912;
ITGA5	JUN	trrd;	Homo sapiens;	S6129;
ITGAX	JUN	trrd;	Homo sapiens;	S3016;
IVL	JUN	trrd;	Homo sapiens;	S9198;
JUN	JUN	pazar;TRED	Mus musculus	
KLF1	JUN	TRED	Mus musculus	
KLK1B4	JUN	TRED	Mus musculus	
KRT14	JUN	trrd;	Homo sapiens;	S9115;
LCRB	JUN	trrd;	Homo sapiens;	S3107;
LHX8	JUN	pazar	Mus musculus	
LTF	JUN	TRED	Mus musculus	
MBP	JUN	NfiRegulomeDb	Mus musculus	
MDM2	JUN	trrd;	Mus musculus;	S6209;
MET	JUN	trrd;	Mus musculus;	S8159;
MMP13	JUN	trrd;	Rattus norvegicus	S8955;
MMP1	JUN	Pubmed	Homo sapiens;	10995748;
MMP26	JUN	trrd;	Homo sapiens;	S10607;
MMP7	JUN	Pubmed	Homo sapiens	12851697;12958188;1899216;
MMP9	JUN	NFIregulomedb;pazar;TRRD	Homo sapiens;	S6635;
MT2A	JUN	trrd;	Homo sapiens;	S222;
MYB	JUN	trrd;	Homo sapiens;	S2252;
MYOD1	JUN	trrd;TRED	Mus musculus	
NFATC1	JUN	TRED	Mus musculus	
NPY	JUN	pazar	Homo sapiens	
NQO1	JUN	trrd;	Homo sapiens;	S4731;
NR0B2	JUN	trrd;	Rattus norvegicus	S8332;
NR3C1	JUN	trrd;	Homo sapiens;	S5155;
PAH	JUN	TRED	Mus musculus	
PCP2	JUN	pazar	Mus musculus	
PENK	JUN	NFIregulomeDB;	Homo sapiens;	;
PLAUR	JUN	trrd;	Homo sapiens;	S5779;
PLF	JUN	trrd;	Mus musculus;	S1892;
POMC	JUN	trrd;	Rattus norvegicus	S7597;
PPARA	JUN	TRED	Mus musculus	
PRDX5	JUN	TRED	Mus musculus	
PRDX6	JUN	TRED	Mus musculus	
PRH1	JUN	TRED	Mus musculus	
PRL	JUN	trrd;	Homo sapiens;	S3945;
PTGS2	JUN	trrd;	Mus musculus;	S7311;
